title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Goat cheese from Sierra Morena,"The MOVING reference member state of this VC (Value Chain) is SPAIN UCO. The reference MOVING Card ID of this VC is VC 14 ES. The place where the goats sleep and graze is the same as the cheese production, all happens in the same farm. The goats are milked every day and the milk is sent to a lab for analysis. All the milk they use comes from their goats. The goat breed is autochthonous and is certified as such by the label 100% Raza Autóctona (Autochthonous breed), a distinctive label for various animal products created by the Spanish Ministry of Agriculture, Fisheries and Food (Ministerio de Agricultura, Pesca y Alimentación).","Spain, Value chain, Goat, Cheese, Milk, Laboratory, Autochthony","http://www.wikidata.org/entity/Q29, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q2934, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q8495, http://www.wikidata.org/entity/Q483242, http://www.wikidata.org/entity/Q144513","country in southwestern Europe with territories in Africa|functions of a company affecting its costs and quality and give it a competitive advantage|domesticated mammal raised for its meat and milk|yellow or white, creamy or solid food made from the pressed curds of milk|white liquid produced by the mammary glands of mammals|facility that provides controlled conditions in which scientific or technological research, experiments, and measurement may be performed|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/d/d3/Spain_-_Location_Map_%282013%29_-_ESP_-_UNOCHA.svg,null,https://upload.wikimedia.org/wikipedia/commons/8/88/Billy_goat.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hartkaese_HardCheeses.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Glass_of_Milk_%2833657535532%29.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c8/M_Faraday_Lab_H_Moore.jpg,null","40.2 -3.5,null,null,null,null,null,null"
Mountain landscape and reference chains,The reference mountain chain of this VC is Sierra Morena. The reference mountain landscape of this VC is Cazalla de la Sierra.,"Sierra Morena, Cazalla de la Sierra","http://www.wikidata.org/entity/Q686362, http://www.wikidata.org/entity/Q1445283",mountain range in Spain|municipality of Spain,"https://upload.wikimedia.org/wikipedia/commons/e/ee/SIERRA_ANDULAR1.JPG,https://upload.wikimedia.org/wikipedia/commons/4/48/Plaza_de_Cazalla_de_la_Sierra.jpg","38.37009726496612 -3.8296314781157315,37.932017 -5.759627"
Geography and population,The size of the area (km2) is 356.39. The minimum altimetry of the LAU (Local Administrative Unit) is 80. The maximum altimetry of the LAU is 763. The total population (in thousand) is unspecified. The population density (Inhabitants/km2) in the LAU is 13.14. The population change rate of the LAU in the last 10 years (%) has been -6.50%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) is unspecified.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 12387. The total Gross Value Added (GVA) (EUR million/year) [Province] is 35778.3. The primary sector share of total GVA/year [Province] is 5.34%. The secondary sector share of total GVA/year [Province] is 20.76%. The tertiary sector share of total GVA/year [Province] is 73.90%. The per capita income (EUR/year) [Region] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Region] is unspecified. The primary sector share of total GVA/year [Region] is unspecified. The secondary sector share of total GVA/year [Region] is unspecified. The tertiary sector share of total GVA/year [Region] is unspecified.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Province, Region","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 0. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is unspecified. The nearest settlement with population over 100000 (km) is 77.7. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 5.90%. The secondary sector share of total employment/year [Province] is 17.40%. The tertiary sector share of total employment/year [Province] is 76.70%. The primary sector share of total employment/year [Region] is unspecified. The secondary sector share of total employment/year [Region] is unspecified. The tertiary sector share of total employment/year [Region] is unspecified.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"High quality goat cheese from the autochthonous goat breed florida andaluza. The goats have grazed along these natural pastures for centuries, being totally connected with this land use and enabling this way its natural maintenance. It is an innovation in the waste management mostly.","Cheese, Goat, Spanish goat, Pasture, Waste management","http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q2934, http://www.wikidata.org/entity/Q3492674, http://www.wikidata.org/entity/Q30121, http://www.wikidata.org/entity/Q180388","yellow or white, creamy or solid food made from the pressed curds of milk|domesticated mammal raised for its meat and milk|goat breed|land used for grazing|generation, prevention, characterization, monitoring, treatment, handling, reuse and residual disposition of wastes","https://upload.wikimedia.org/wikipedia/commons/f/f2/Hartkaese_HardCheeses.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Billy_goat.jpg,null,https://upload.wikimedia.org/wikipedia/commons/a/a6/Mallnitz_Tauerntal_20220825.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Material_recovery_facility_2004-03-24.jpg","null,null,null,null,null"
Challenges,1) The scarce amount of herds of this goat breed compromises its continuity and its beneficial effects on the social-ecological-system 2) Competing with the industrially-produced cheese; 3) expanding the selling scope beyond the province. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.,"Goat, Cheese, Province, Social-ecological system, Venture capital, Traditionalism, Innovation","http://www.wikidata.org/entity/Q2934, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q7552762, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q354963, http://www.wikidata.org/entity/Q174165","domesticated mammal raised for its meat and milk|yellow or white, creamy or solid food made from the pressed curds of milk|administrative division in several countries|bio-geo-physical unit and associated social actors|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|Wikimedia disambiguation page|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/8/88/Billy_goat.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hartkaese_HardCheeses.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,null,null,null,null","null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Exogenous. The innovation to point out is related to the energy use and waste management. The farm uses solar energy for its functioning. The wasted water is treated with bioremediation in an artificial pond nearby. Afterwards, the water is used in the family garden. The innovation is related to New processes. The land use systems involved are Grassland and Animal skin / leather. The local assets include Natural, social and cultural.","Value chain, Exogenous variable, Energy consumption, Waste management, Solar energy, Bioremediation, Innovation, Grassland, Leather, Nature, Social capital, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q61985482, http://www.wikidata.org/entity/Q16869822, http://www.wikidata.org/entity/Q180388, http://www.wikidata.org/entity/Q40015, http://www.wikidata.org/entity/Q816441, http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q286, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q214693, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|variables in an economic model|amount of energy or power used|generation, prevention, characterization, monitoring, treatment, handling, reuse and residual disposition of wastes|radiant light and heat from the Sun that is harnessed using a range of technologies|degradation of polutants in environment by stimulating micro-organisms which feed on them|application of better solutions that meet new requirements, inarticulated needs, or existing market needs|area with vegetation dominated by grasses|durable and flexible material created by the tanning of animal rawhide and skin|natural, physical, or material world and its phenomena|sociology concept|shared aspects of a society's way of life","null,null,https://upload.wikimedia.org/wikipedia/commons/c/c7/Mechanical_electricity_meter_1965_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Material_recovery_facility_2004-03-24.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/PS10_solar_power_tower.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/Bioremediation_at_INL.jpg,null,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/5/5c/Leathertools.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,null,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null,null,null,null,null,null,null,null"
Concluding remarks,There are other goat cheese producers in Sierra Morena. Another case can be found in Guarromán (23039) where the familiar company 'Besos y Quesos' is following similar cheese making but with goats of the Malagueña breed.,"Sierra Morena, Guarromán, Malagueña, Cheese","http://www.wikidata.org/entity/Q686362, http://www.wikidata.org/entity/Q1313369, http://www.wikidata.org/entity/Q6741054, http://www.wikidata.org/entity/Q10943","mountain range in Spain|municipality of the province of Jaén, Spain|Wikimedia disambiguation page|yellow or white, creamy or solid food made from the pressed curds of milk","https://upload.wikimedia.org/wikipedia/commons/e/ee/SIERRA_ANDULAR1.JPG,https://upload.wikimedia.org/wikipedia/commons/a/af/Guarrom%C3%A1n%2C_en_Ja%C3%A9n_%28Espa%C3%B1a%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hartkaese_HardCheeses.jpg","38.37009726496612 -3.8296314781157315,38.1840491 -3.6852374,null,null"
