title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Sustainable rural tourism,"The MOVING reference member state of this VC (Value Chain) is SPAIN UCO. The reference MOVING Card ID of this VC is VC 01 ES. This VC applies a holistic approach, where nature and culture are intertwined. It aims for a responsible tourism with high commitment to the territory. There are multiple actors: Andalusian government, ADIT Sierra Morena (regional development association), municipalities, accommodation, restaurants, and other tourism-oriented companies. All the assets on which this VC relies are integrated within the social-ecological-system of Sierra Morena.","Andalusia, Sierra Morena, Spain, Value chain, Government of Andalusia, Tourism, Nature, Culture, Social-ecological system","http://www.wikidata.org/entity/Q5783, http://www.wikidata.org/entity/Q686362, http://www.wikidata.org/entity/Q29, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q2743342, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q11042, http://www.wikidata.org/entity/Q7552762","autonomous community of Spain|mountain range in Spain|country in southwestern Europe with territories in Africa|functions of a company affecting its costs and quality and give it a competitive advantage|government of the autonomous community of Andalusia, Spain|travel for pleasure or business|natural, physical, or material world and its phenomena|shared aspects of a society's way of life|bio-geo-physical unit and associated social actors","https://upload.wikimedia.org/wikipedia/commons/8/8c/The_whole_Alhambra_Granada_Spain.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/SIERRA_ANDULAR1.JPG,https://upload.wikimedia.org/wikipedia/commons/d/d3/Spain_-_Location_Map_%282013%29_-_ESP_-_UNOCHA.svg,null,https://upload.wikimedia.org/wikipedia/commons/1/18/Portada_del_Palacio_de_San_Telmo%2C_Sevilla.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg,null","37.405 -5.9875,38.37009726496612 -3.8296314781157315,40.2 -3.5,null,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Sierra Morena. The reference mountain landscape of this VC is Aracena. The locality is integrated in the Natural Park of Aracena and Picos de Aroche and this has conditioned its economy. The ecosystem is dominated by holm oaks and cork oaks in a dehesa landscape, where livestock grazes (important for the Iberian ham production in the area) and dense forests of similar tree species complemented by arbutus, bushes of juniper and rockrose and diverse aromatic herbs. In Aracena we can find the Iberian Ham Museum (Museo del Jamón) where the visitor can learn about the relationship between Iberian pigs and ham and the dehesa ecosystem. In addition, the Ruta de Jabugo (Jabugo route) links 31 municipalities of the region where ham is produced, with an extense area within the boundaries of the Natural Park.","Sierra Morena, Sierra de Aracena, Iberian Peninsula, Aracena, Jabugo, Holm oak, Cork oak, Dehesa, Iberian ham, Iberian pig, Arbutus, Juniper, Rockrose","http://www.wikidata.org/entity/Q686362, http://www.wikidata.org/entity/Q14377517, http://www.wikidata.org/entity/Q12837, http://www.wikidata.org/entity/Q624511, http://www.wikidata.org/entity/Q913504, http://www.wikidata.org/entity/Q104552567, http://www.wikidata.org/entity/Q156137, http://www.wikidata.org/entity/Q1182952, http://www.wikidata.org/entity/Q4774679, http://www.wikidata.org/entity/Q1655849, http://www.wikidata.org/entity/Q430057, http://www.wikidata.org/entity/Q25662, http://www.wikidata.org/entity/Q20727053","mountain range in Spain|Comarca in the province of Huelva, Andalusia, Spain|peninsula located in the extreme southwest of Europe|municipality of Spain|municipality of Spain|Wikimedia disambiguation page|species of plant|multifunctional agro-sylvo-pastoral system|Bellota ham|breed of pig|genus of plants|genus of plants|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/e/ee/SIERRA_ANDULAR1.JPG,https://upload.wikimedia.org/wikipedia/commons/4/46/SierraDeAracena-P1040654.JPG,https://upload.wikimedia.org/wikipedia/commons/8/84/Espa%C3%B1a_y_Portugal.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Aracena_in_Spain_01.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Jabugo_%28Huelva%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/7/70/Quercus_suber_JPG1.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Dehesa_Los_Valhondos_Jamon_BEHER_Bernardo_Hernandez_Salamanca_Pelayos.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Jam%C3%B3n_bellota_Mu%C3%B1ana.jpeg,https://upload.wikimedia.org/wikipedia/commons/6/66/Dehesa_en_Guijuelo_de_Jam%C3%B3n_Or.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Arbouse.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Juniperus_phoenicea_berries.jpg,null","38.37009726496612 -3.8296314781157315,37.93458596 -6.62813851,40.24 -4.2391666666667,37.891111111111 -6.5611111111111,37.9167323 -6.7285322,null,null,null,null,null,null,null,null"
Geography and population,The size of the area (km2) is 184.75. The minimum altimetry of the LAU (Local Administrative Unit) is 200. The maximum altimetry of the LAU is 851. The total population (in thousand) is unspecified. The population density (Inhabitants/km2) in the LAU is 44.68. The population change rate of the LAU in the last 10 years (%) has been 6.70%. The overall regional population density (Inhabitants/km2) is unspecified. The regional population change rate in the last 10 years (%) is unspecified.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 14145. The total Gross Value Added (GVA) (EUR million/year) [Province] is 9599.3. The primary sector share of total GVA/year [Province] is 8.33%. The secondary sector share of total GVA/year [Province] is 27.46%. The tertiary sector share of total GVA/year [Province] is 64.21%. The per capita income (EUR/year) [Region] is unspecified. The total Gross Value Added (GVA) (EUR million/year) [Region] is unspecified. The primary sector share of total GVA/year [Region] is unspecified. The secondary sector share of total GVA/year [Region] is unspecified. The tertiary sector share of total GVA/year [Region] is unspecified.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Province, Region, Euro","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q4916","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|currency of most countries in the European Union","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/6/65/Euro_coins_and_banknotes.jpg","null,null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 251. The regional (Region) share of total BPs/year is unspecified. The number of agricultural holdings in the LAU is unspecified. The nearest settlement with population over 100000 (km) is 97.1. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 17.30%. The secondary sector share of total employment/year [Province] is 13.90%. The tertiary sector share of total employment/year [Province] is 68.80%. The primary sector share of total employment/year [Region] is unspecified. The secondary sector share of total employment/year [Region] is unspecified. The tertiary sector share of total employment/year [Region] is unspecified.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"It integrates various assets of the region. It mainly consists of cultural and natural landscape enjoynment, bird watching, and local gastronomy. New products such as Iberian ham routes and bird- watching tours are offered by this type of sustainable rural tourism. These new products (e.g., Iberian ham route) are based on new governance systems, where several actors (conservation, bird-watching, restaurantes, accommodation, heritage museums, ..) are involved and collaborate with each other to offer the final product. E-commerce is increasingly being used for promotion and marketing purposes.","Iberian Peninsula, Rural tourism, Iberian ham, Birdwatching, Gastronomy, Conservation, Cultural heritage, Museum, E-commerce, Marketing","http://www.wikidata.org/entity/Q12837, http://www.wikidata.org/entity/Q367125, http://www.wikidata.org/entity/Q4774679, http://www.wikidata.org/entity/Q685629, http://www.wikidata.org/entity/Q171141, http://www.wikidata.org/entity/Q342041, http://www.wikidata.org/entity/Q210272, http://www.wikidata.org/entity/Q33506, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q39809","peninsula located in the extreme southwest of Europe|tourism oriented on rural areas|Bellota ham|observation of birds as a recreational activity or citizen science|study and art of food preparation|Wikimedia disambiguation page|physical artifact or intangible attribute of a society inherited from past generations|institution that holds artifacts and other objects of scientific, artistic, cultural, historical, or other importance|type of business industry usually conducted over the Internet|study and process of promoting, distributing, and selling products or services to customers","https://upload.wikimedia.org/wikipedia/commons/8/84/Espa%C3%B1a_y_Portugal.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/%D0%AF%D0%B1%D0%BB%D0%BE%D1%87%D0%BD%D1%8B%D0%B9_%D1%81%D0%BF%D0%B0%D1%81_%D0%9A%D0%A02006.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Jam%C3%B3n_bellota_Mu%C3%B1ana.jpeg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Dingdarlingnnr.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Produits_r%C3%A9gionaux_-_photo_CPPR.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/43/Peru_Machu_Picchu_Sunrise.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/GD-EG-Caire-Mus%C3%A9e007.JPG,null,null","40.24 -4.2391666666667,null,null,null,null,null,null,null,null,null"
Challenges,1) Making this tourism model more appealing to the visitors and competing this way against the mainstream tourism which is mainly based in coastal areas; 2) Raising awareness among the tourists regarding the benefits and opportunities of sustainable tourism; 3) Resolving seasonality of emplyment in the tourism sector. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional and Innovative.,"Tourism, Sustainable tourism, Employment, Coastal zone, Venture capital","http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q1344240, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q93352, http://www.wikidata.org/entity/Q219409","travel for pleasure or business|form of travel without damage to nature or cultural area|gainful occupation|area where land meets the sea or ocean|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth","https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Knight%27s_Point%2C_West_Coast.jpg,null","null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. There are several innovative initiatives by regional government, municipalities, private businesses and also rural associations. Here are two examples: 1) Los Pedroches and Jabugo Iberian ham routes (ruta de jamón de Los Pedroches y Jabugo) to visit rural areas of great ecological and also social-cultural value, to enjoy the scenic beauty, and to taste iberian ham and enjoy the local gastronomy; 2) Orniturismo, a project partially financed by the European Regional Development Fund to protect and enhance the ornothological heritage of the area and consolidate sustianable toruism activites that reactivate the economy of the region. The innovation is related to New products, New marketing strategies and New governance systems. The land use systems involved are Cropland, Grassland, Forestry, Natural land and Urban areas. The local assets include Natural, social and cultural.","Los Pedroches, Jabugo, Iberian Peninsula, European Regional Development Fund, Value chain, Ecotourism, Cropland, Grassland, Forestry, Natural environment, Urban area, Iberian ham","http://www.wikidata.org/entity/Q1117207, http://www.wikidata.org/entity/Q913504, http://www.wikidata.org/entity/Q12837, http://www.wikidata.org/entity/Q1361297, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q187449, http://www.wikidata.org/entity/Q3395383, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q38112, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q702492, http://www.wikidata.org/entity/Q4774679","comarca of Spain|municipality of Spain|peninsula located in the extreme southwest of Europe|financial instrument of the European Commission intended to contribute to the correction of the main regional imbalances within the European Union|functions of a company affecting its costs and quality and give it a competitive advantage|form of tourism involving travel to natural attractions and destinations of ecological value, including its living organisms|land used for agricultural purposes|area with vegetation dominated by grasses|science and craft of creating, managing, using, conserving and repairing forests, woodlands, and associated resources for human and environmental benefits|all living and non-living things occurring naturally on Earth or some region thereof|large area with high population density and infrastructure of built environment|Bellota ham","https://upload.wikimedia.org/wikipedia/commons/7/7e/LosPedrochesLosMuros.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/Jabugo_%28Huelva%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Espa%C3%B1a_y_Portugal.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/1/12/Gruppenreise_Kungsleden_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/3/39/Hoeve_Groot_Amelgem%2C_Wolvertem_05.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/4/4c/A_deciduous_beech_forest_in_Slovenia.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Ginza_area_at_dusk_from_Tokyo_Tower.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Jam%C3%B3n_bellota_Mu%C3%B1ana.jpeg","38.41666667 -4.75,37.9167323 -6.7285322,40.24 -4.2391666666667,null,null,null,null,null,null,null,null,null"
Concluding remarks,"This VC is present in the Sierra de Aracena and Picos de Aroche Natural Park in Huelva, in the Sierra Norte Sevillana, as well as in the Sierra Morena Cordobesa and in the oriental part around the Andújar Natural Park in Jaén.","Sierra de Aracena, Huelva, Jaén, Spain, Vegetation classification, Sierra de Aracena and Picos de Aroche Natural Park, Sierra Norte de Sevilla Natural Park, Sierra Morena, Córdoba, Jaén","http://www.wikidata.org/entity/Q14377517, http://www.wikidata.org/entity/Q12246, http://www.wikidata.org/entity/Q15681, http://www.wikidata.org/entity/Q18648871, http://www.wikidata.org/entity/Q1754073, http://www.wikidata.org/entity/Q15847542, http://www.wikidata.org/entity/Q686362, http://www.wikidata.org/entity/Q900722, http://www.wikidata.org/entity/Q230847","Comarca in the province of Huelva, Andalusia, Spain|municipality and capital city of the Province of Huelva, Spain|municipality in Spain|schemes for classifying vegetation communities|protected area in Andalusia, Spain|mountain range in Spain|mountain range in Spain|Wikimedia disambiguation page|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/4/46/SierraDeAracena-P1040654.JPG,https://upload.wikimedia.org/wikipedia/commons/3/36/Huelva_%28Spain%29_%2841302627111%29_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Catedral_de_Ja%C3%A9n_%28Espa%C3%B1a%29.jpg,null,https://upload.wikimedia.org/wikipedia/commons/3/3d/Aracena23te.jpg,null,https://upload.wikimedia.org/wikipedia/commons/e/ee/SIERRA_ANDULAR1.JPG,null,null","37.93458596 -6.62813851,37.25 -6.95,37.769722222222 -3.7888888888889,null,37.95972222 -6.58527778,37.916666666666664 -5.675,38.37009726496612 -3.8296314781157315,null,null"
