title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Suckling goat from Malaga,"The MOVING reference member state of this VC (Value Chain) is SPAIN ADEGUA. The reference MOVING Card ID of this VC is VC 31 ES. There are about 300,000 head of Malaga goats in Spain. About 200,000 in the province of Malaga, distributed in more than 1,500 goat farms, the largest European concentration of this livestock. The suckling goat is an animal of one month of age, with a live weight between 8 and 10 kilos, fed exclusively on mother's milk. The breed is controlled through a Stud Book or certification by the Spanish Association of Malaga Goat Breeders (Cabrama). The 'Marca de Garantía Chivo Lechal Malagueño' (Malaga Suckling Goat Guarantee Label) implies the fulfillment of an exhaustive set of conditions. Malaga suckling goat meat is increasingly consumed in the province of Malaga and beyond. 80% of the cattle farms have some territorial base so that the predominant management in the farms is semi-extensive. It confers unique properties, aroma, and flavors to the meat and milk, transmitted to the cheeses and the rest of the derived products.","Málaga, Spain, Europe, Goat, Milk, Meat, Cheese","http://www.wikidata.org/entity/Q8851, http://www.wikidata.org/entity/Q29, http://www.wikidata.org/entity/Q46, http://www.wikidata.org/entity/Q2934, http://www.wikidata.org/entity/Q8495, http://www.wikidata.org/entity/Q10990, http://www.wikidata.org/entity/Q10943","municipality and capital of the province of Málaga, in Spain|country in southwestern Europe with territories in Africa|terrestrial continent located in north-western Eurasia|domesticated mammal raised for its meat and milk|white liquid produced by the mammary glands of mammals|culinary name for animal flesh eaten as food|yellow or white, creamy or solid food made from the pressed curds of milk","https://upload.wikimedia.org/wikipedia/commons/a/a5/Malaga_2023.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Spain_-_Location_Map_%282013%29_-_ESP_-_UNOCHA.svg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Europe_satellite_orthographic.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Billy_goat.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Glass_of_Milk_%2833657535532%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/FoodMeat.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hartkaese_HardCheeses.jpg","36.716666666667 -4.4166666666667,40.2 -3.5,48.690959 9.14062,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Betic Systems. The reference mountain landscape of this VC is Canillas de Aceituno. The Sierras Tejeda, Almijara and Alhama, are Natural Park since 1999. With its 2,065 m. altitude and very diverse flora, its lands are suitable for the cultivation of vineyards, olive groves, and fruit trees such as orange, fig, and loquat, etc. Its marginal character has favoured the conservation of the landscape, traditional architecture, and its natural values.","Canillas de Aceituno, Alhama de Aragón, Betic System, Natural park, Altitude, Flora, Viticulture, Olive growing, Orange, Fig, Loquat, Architecture","http://www.wikidata.org/entity/Q1647722, http://www.wikidata.org/entity/Q1642171, http://www.wikidata.org/entity/Q831469, http://www.wikidata.org/entity/Q16920230, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q131449, http://www.wikidata.org/entity/Q253140, http://www.wikidata.org/entity/Q37083, http://www.wikidata.org/entity/Q2028096, http://www.wikidata.org/entity/Q36146, http://www.wikidata.org/entity/Q41505, http://www.wikidata.org/entity/Q12271","Municipality in the province of Málaga, Spain|municipality of Spain|mountain range of the iberic peninsula|Wikimedia disambiguation page|height in relation to a certain reference point|set of plant species in any particular region and time|science, production and study of grapes|olive plant, species of plant used as food|Wikimedia disambiguation page|species of plant|species of plant, Loquat|process of planning, designing and construction","https://upload.wikimedia.org/wikipedia/commons/9/92/Vista_de_Canillas_de_Aceituno.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Iglesia_de_Alhama.JPG,https://upload.wikimedia.org/wikipedia/commons/7/7b/Mulhacen_Winter.jpg,null,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Plants.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Rieslingtrauben.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/El_Perell%C3%B3_-_Old_olive_tree.jpg,null,https://upload.wikimedia.org/wikipedia/commons/6/69/Smokve_na_grani.jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Louqat255.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Ray_and_Maria_Stata_Center_%28MIT%29.JPG","36.8726174 -4.0818501,41.2965036 -1.8949513,37 -3,null,null,null,null,null,null,null,null,null"
Geography and population,The size of the area (km2) is 42. The minimum altimetry of the LAU (Local Administrative Unit) is 150. The maximum altimetry of the LAU is 2050. The total population (in thousand) is 1.68. The population density (Inhabitants/km2) in the LAU is 40. The population change rate of the LAU in the last 10 years (%) has been -26.50%. The overall regional population density (Inhabitants/km2) is 96.63. The regional population change rate in the last 10 years (%) has been 1.12%.,"Lau Islands, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 8587.56. The total Gross Value Added (GVA) (EUR million/year) [Province] is 28075.1. The primary sector share of total GVA/year [Province] is 2.88%. The secondary sector share of total GVA/year [Province] is 14.62%. The tertiary sector share of total GVA/year [Province] is 82.50%. The per capita income (EUR/year) [Region] is 16409.45. The total Gross Value Added (GVA) (EUR million/year) [Region] is 150440. The primary sector share of total GVA/year [Region] is 6.53%. The secondary sector share of total GVA/year [Region] is 20.01%. The tertiary sector share of total GVA/year [Region] is 73.46%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 573. The regional (Region) share of total BPs/year is 0,10%. The number of agricultural holdings in the LAU is 226. The nearest settlement with population over 100000 (km) is 47.6. In this region protected areas are present.","Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Population, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 4.21%. The secondary sector share of total employment/year [Province] is 12.62%. The tertiary sector share of total employment/year [Province] is 83.17%. The primary sector share of total employment/year [Region] is 9.44%. The secondary sector share of total employment/year [Region] is 16.41%. The tertiary sector share of total employment/year [Region] is 74.15%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"The Malaga goat, a native Spanish breed, is highly prized for its milk production and its suckling goat meat quality. It has excellent fertility rates, being the Malaga milk goat, the first Spanish goat meat, and the first fresh meat in Andalusia, to have a quality label. The Malaga goat sector has a great potential for job creation. In addition to agri-food, with all its ancillary industry, catering and gastronomy or agrotourism, there are still other opportunities to be exploited. Cosmetics, linked to goat's milk, or all the goat skin crafts are two examples of lines to be developed.","Málaga, Spain, Andalusia, Milk, Goat meat, Catering, Gastronomy, Agritourism, Cosmetics, Goat's milk, Goat skin","http://www.wikidata.org/entity/Q8851, http://www.wikidata.org/entity/Q29, http://www.wikidata.org/entity/Q5783, http://www.wikidata.org/entity/Q8495, http://www.wikidata.org/entity/Q449506, http://www.wikidata.org/entity/Q777754, http://www.wikidata.org/entity/Q171141, http://www.wikidata.org/entity/Q1956672, http://www.wikidata.org/entity/Q131207, http://www.wikidata.org/entity/Q1418287, http://www.wikidata.org/entity/Q5575379","municipality and capital of the province of Málaga, in Spain|country in southwestern Europe with territories in Africa|autonomous community of Spain|white liquid produced by the mammary glands of mammals|meat from the domestic goat used as food|commercial food service|study and art of food preparation|agriculturally based operation or activity that brings visitors to a farm or ranch|substances used to enhance the appearance or odor of the human body|liquid food produced by female goats|Wikimedia disambiguation page","https://upload.wikimedia.org/wikipedia/commons/a/a5/Malaga_2023.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Spain_-_Location_Map_%282013%29_-_ESP_-_UNOCHA.svg,https://upload.wikimedia.org/wikipedia/commons/8/8c/The_whole_Alhambra_Granada_Spain.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Glass_of_Milk_%2833657535532%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/Goat_chops.jpg,null,https://upload.wikimedia.org/wikipedia/commons/f/ff/Produits_r%C3%A9gionaux_-_photo_CPPR.jpg,null,https://upload.wikimedia.org/wikipedia/commons/0/0a/Cosmetics-1078712_1280.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Geitenmelk.jpg,null","36.716666666667 -4.4166666666667,40.2 -3.5,37.405 -5.9875,null,null,null,null,null,null,null,null"
Key local assets,"Malaga goat farming performs important environmental tasks through local resources, fire prevention, soil and biodiversity maintenance, and ecosystem conservation. The Malaga goat generates landscape and takes advantage of crop residues and marginal areas that other livestock types cannot graze. The management of the Natural Park promotes the integration of the goatherds with the natural space management. ","Málaga, Soil, Biodiversity, Ecosystem, National park, Goatherd, Livestock","http://www.wikidata.org/entity/Q8851, http://www.wikidata.org/entity/Q36133, http://www.wikidata.org/entity/Q47041, http://www.wikidata.org/entity/Q37813, http://www.wikidata.org/entity/Q46169, http://www.wikidata.org/entity/Q5575361, http://www.wikidata.org/entity/Q103459","municipality and capital of the province of Málaga, in Spain|natural body consisting of layers that are primarily composed of minerals|degree of variation of life forms|community of living organisms together with the nonliving components of their environment, interacting as a system|park used for conservation purposes of animal life and plants|person who tends, feeds, or guards flocks of goats|domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor","https://upload.wikimedia.org/wikipedia/commons/a/a5/Malaga_2023.jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Stagnogley.JPG,https://upload.wikimedia.org/wikipedia/commons/c/cd/Animal_diversity_October_2007.jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Wild_zebra_on_Kenya_countryside.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Grand_prismatic_no_noise_reduction.jpg,https://upload.wikimedia.org/wikipedia/commons/2/21/Herding_Goats%2C_Rajastan_%2810700379726%29.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9a/Edward_Hicks_001.jpg","36.716666666667 -4.4166666666667,null,null,null,null,null,null"
Challenges,"The greatest challenge is keeping the farms alive in the face of generational replacement problems, excessive bureaucracy, lack of nearby slaughterhouses, low meat prices that remain the same as 20 years ago, and the need to establish an articulation of the sector. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative.","Farm, Bureaucracy, Slaughterhouse, Meat, Venture capital, Tradition, Innovation","http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q72468, http://www.wikidata.org/entity/Q385557, http://www.wikidata.org/entity/Q10990, http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q82821, http://www.wikidata.org/entity/Q174165","area of land for farming, or, for aquaculture, lake, river or sea, including various structures|administrative system governing any large institution|facility where animals are killed for consumption as food products|culinary name for animal flesh eaten as food|form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|custom passed down through generations|application of better solutions that meet new requirements, inarticulated needs, or existing market needs","https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4a/%E5%A4%A9%E6%B4%A5%E6%BB%A8%E6%B5%B7%E6%96%B0%E5%8C%BA%E8%A1%8C%E6%94%BF%E5%AE%A1%E6%89%B9%E5%B1%80%E5%B0%81%E5%AD%98%E7%9A%84109%E6%9E%9A%E5%85%AC%E7%AB%A0_20191005_122243.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Pig%2C_meat_industry%2C_slaughterhouse_Fortepan_76068.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/FoodMeat.jpg,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg,null","null,null,null,null,null,null,null"
Innovation,"The type of innovation of this VC (Value Chain) is Endogenous and Exogenous. Much has been done to promote the quality and differentiated value of this meat. Unfortunately, a strong business model has not yet been secured to accompany the development of new strategies, in any case, associated with some local restaurants that have innovated using the product, its processing, and online sales to take home processed product. The innovation is related to New processes, New marketing strategies and New governance systems. The land use systems involved are Grassland. The local assets include Natural, social and cultural.","Value chain, Innovation, Business model, Restaurant, E-commerce, Marketing strategy, Corporate governance, Grassland, Nature, Social, Culture","http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q815823, http://www.wikidata.org/entity/Q11707, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q1363963, http://www.wikidata.org/entity/Q380767, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q7860, http://www.wikidata.org/entity/Q8425, http://www.wikidata.org/entity/Q11042","functions of a company affecting its costs and quality and give it a competitive advantage|application of better solutions that meet new requirements, inarticulated needs, or existing market needs|rationale of how an organization creates, delivers, and captures value in economic, social, cultural or other contexts|single establishment which prepares and serves food, located in building|type of business industry usually conducted over the Internet|business strategy for marketing and advertising|mechanisms, processes and relations by which corporations are controlled and operated|area with vegetation dominated by grasses|natural, physical, or material world and its phenomena|group of people connected to each other|shared aspects of a society's way of life","null,null,null,https://upload.wikimedia.org/wikipedia/commons/9/98/Gaggenau_2016_-Restaurant-_by-RaBoe_118.jpg,null,https://upload.wikimedia.org/wikipedia/commons/7/78/Extremates.png,https://upload.wikimedia.org/wikipedia/commons/b/b0/Bob_Tricker_-_Corporate_Governance2.png,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/9/94/Desert_Electric.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fa/%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%B2%D0%B5%D0%BA_%281%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null,null,null,null,null,null,null,null"
