title,description,objects,objectlinks,wikidata_descriptions,wikidata_images,wikidata_coords
Goat's milk cheese made by hand directly on the mountain pasture,"The MOVING reference member state of this VC (Value Chain) is SWITZERLAND 2. The reference MOVING Card ID of this VC is VC 51 CH2. The VC includes mainly farmers which produce, local retailers in addition to consumers, as the product is processed directly on the farm by the farmers themselves. Aditonnaly, It is therefore a short VC. the producers are organised in a producers' cooperative called DorignoL. The production benefits from from the label 'produit des parcs suisses'or 'parc du Jura Vaudois'.","Switzerland, Value chain, Farmer, Retail, Consumer, Cooperative","http://www.wikidata.org/entity/Q39, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q131512, http://www.wikidata.org/entity/Q126793, http://www.wikidata.org/entity/Q22855, http://www.wikidata.org/entity/Q4539","country in Central Europe|functions of a company affecting its costs and quality and give it a competitive advantage|person engaged in agriculture, raising living organisms for food or raw materials|sale of goods and services from individuals or businesses to the end-user|person or group of people that are the final users of products and or services; one who pays something to consume goods and services produced|autonomous association of persons or organizations","null,null,https://upload.wikimedia.org/wikipedia/commons/a/a2/04-09-12-Schaupfl%C3%BCgen-Fahrenwalde-RalfR-IMG_1232.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Saluhallen_i_Helsingfors_%282%29.jpg,https://upload.wikimedia.org/wikipedia/commons/3/36/People_are_buying_fruits.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Customers_shopping_inside_Co-operative_Grocery_Store_No_1%2C_Seattle%2C_circa_1918_%28MOHAI_15357%29.jpg","46.798562 8.231973,null,null,null,null,null"
Mountain landscape and reference chains,"The reference mountain chain of this VC is Jura. The reference mountain landscape of this VC is Gimel; Vaulion. The MLR is a region composed of limestone rocks, which are permeable and have difficulty retaining water, forming a succession of shallow valleys and high plateaus. It is covered by forest and wooded pasture. Milk and cheese production are the first agricultural resource of the massif. Temperature vary strongly between summer and winter and the annual rainfall are abundant ( 1000 mm). Clock-making by farmers in the form of peasant clockmakers has been practiced since the Middle Ages and offers a cultural heritage to the region.","Jura Mountains, Gimel, Switzerland, Vaulion, Middle Ages, Gimel, Limestone, Clockmaking","http://www.wikidata.org/entity/Q178611, http://www.wikidata.org/entity/Q70245, http://www.wikidata.org/entity/Q70665, http://www.wikidata.org/entity/Q12554, http://www.wikidata.org/entity/Q17525296, http://www.wikidata.org/entity/Q23757, http://www.wikidata.org/entity/Q2700922",mountain chain in Switzerland and France|municipality in Switzerland|municipality in the canton of Vaud in Switzerland|period of European history from the 5th to the late 15th-century|3rd letter of many Semitic abjads|sedimentary rocks made of the chemical substance calcium carbonate|artisan or firm that makes and repairs clocks,"https://upload.wikimedia.org/wikipedia/commons/2/2f/Jura_Mountains.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Gimel.jpeg,https://upload.wikimedia.org/wikipedia/commons/5/55/Vaulion.jpg,https://upload.wikimedia.org/wikipedia/commons/0/07/Friedrich-barbarossa-und-soehne-welfenchronik_1-1000x1540.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/d1/Limestone_Formation_In_Waitomo.jpg,https://upload.wikimedia.org/wikipedia/commons/1/17/Josef_Urban_Der_Uhrmacher.jpg","47.2431 6.0219,46.51015 6.30658,46.683333333333 6.3833333333333,null,null,null,null"
Geography and population,The size of the area (km2) is 3.20. The minimum altimetry of the LAU (Local Administrative Unit) is 670. The maximum altimetry of the LAU is 1496. The total population (in thousand) is 2.73. The population density (Inhabitants/km2) in the LAU is 85.33. The population change rate of the LAU in the last 10 years (%) has been 23.11%. The overall regional population density (Inhabitants/km2) is 199.83. The regional population change rate in the last 10 years (%) is unspecified.,"Lau Islands, Area, Square kilometre, Altitude, Local Administrative Unit, Population, Population density, Population growth, Region","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q11500, http://www.wikidata.org/entity/Q712226, http://www.wikidata.org/entity/Q190200, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q175385, http://www.wikidata.org/entity/Q22856, http://www.wikidata.org/entity/Q386191, http://www.wikidata.org/entity/Q82794","archipelago of Fiji|measure of the extent of a two-dimensional region on a curved surface or flat plane|decimal multiple of the SI unit of surface area|height in relation to a certain reference point|geocode standard for referencing the subdivisions of countries for statistical purposes|Wikimedia disambiguation page|measurement of population per unit area or unit volume|increase in the number of individuals in a population|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,null,https://upload.wikimedia.org/wikipedia/commons/1/19/1_km2.svg,https://upload.wikimedia.org/wikipedia/commons/9/9f/Altitude_marker%2C_Lismore.jpg,null,null,https://upload.wikimedia.org/wikipedia/commons/4/4d/World_population_density_map.PNG,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","-17.833333333333 178.66666666667,null,null,null,null,null,null,null,null"
Income and gross value added,The average per capita income (EUR/year) [Province] is 27184.41. The total Gross Value Added (GVA) (EUR million/year) [Province] is 79468.40. The primary sector share of total GVA/year [Province] is 0.99%. The secondary sector share of total GVA/year [Province] is 29.59%. The tertiary sector share of total GVA/year [Province] is 69.42%. The per capita income (EUR/year) [Region] is 25692.02. The total Gross Value Added (GVA) (EUR million/year) [Region] is 120370.80. The primary sector share of total GVA/year [Region] is 0.80%. The secondary sector share of total GVA/year [Region] is 28.02%. The tertiary sector share of total GVA/year [Region] is 71.17%.,"Per capita income, Gross value added, Primary sector, Secondary sector, Tertiary sector, Region, Province","http://www.wikidata.org/entity/Q45918, http://www.wikidata.org/entity/Q994873, http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q34876","average income of an economy|economic indicator which adjusts gross domestic product (GDP) by the impact of subsidies and taxes (tariffs) on products|includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|administrative division in several countries","null,null,null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg","null,null,null,null,null,null,null"
Tourism,The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 26. The regional (Region) share of total BPs/year is 0.02%. The number of agricultural holdings in the LAU is 27. The nearest settlement with population over 100000 (km) is 32. In this region protected areas are present.,"Lau Islands, Hotel room, Tourism, Local Administrative Unit, Region, Agricultural holding, Settlement, Protected area","http://www.wikidata.org/entity/Q1062438, http://www.wikidata.org/entity/Q27686, http://www.wikidata.org/entity/Q49389, http://www.wikidata.org/entity/Q193083, http://www.wikidata.org/entity/Q82794, http://www.wikidata.org/entity/Q131596, http://www.wikidata.org/entity/Q1247845, http://www.wikidata.org/entity/Q473972","archipelago of Fiji|business enterprise that provides indoor lodging in a single location paid on a short-term basis|travel for pleasure or business|geocode standard for referencing the subdivisions of countries for statistical purposes|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences|area of land for farming, or, for aquaculture, lake, river or sea, including various structures|Wikimedia disambiguation page|areas protected for having ecological or cultural importance","https://upload.wikimedia.org/wikipedia/commons/6/6b/Lau_Islands_Yagasa_highres_STS098.jpg,https://upload.wikimedia.org/wikipedia/commons/9/98/PNY_Exterior_with_Rolls_Royce.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b9/Tourism.png,null,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG,https://upload.wikimedia.org/wikipedia/commons/7/70/Borgboda2006_web.jpg,null,https://upload.wikimedia.org/wikipedia/commons/d/df/%D0%A1%D1%82%D1%96%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B5_%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D1%89%D0%B5%2C_%D0%B2%D0%B8%D0%B3%D0%BB%D1%8F%D0%B4_%D0%B7_%D0%B2%D1%83%D0%BB._%D0%97%D0%B0%D1%80%D1%96%D1%87%D0%BD%D0%BE%D1%97_2.jpg","-17.833333333333 178.66666666667,null,null,null,null,null,null,null"
Employment,The primary sector share of total employment/year [Province] is 15.72%. The secondary sector share of total employment/year [Province] is 18.76%. The tertiary sector share of total employment/year [Province] is 65.53%. The primary sector share of total employment/year [Region] is 2.55%. The secondary sector share of total employment/year [Region] is 15.85%. The tertiary sector share of total employment/year [Region] is 81.36%.,"Primary sector of the economy, Secondary sector of the economy, Tertiary sector of the economy, Employment, Province, Region","http://www.wikidata.org/entity/Q55640, http://www.wikidata.org/entity/Q55639, http://www.wikidata.org/entity/Q55638, http://www.wikidata.org/entity/Q656365, http://www.wikidata.org/entity/Q34876, http://www.wikidata.org/entity/Q82794","includes farming, fishing & mining|industries that produce a finished, usable product or are involved in construction|service sector, as opposed to raw materials & manufacturing|gainful occupation|administrative division in several countries|2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences","null,https://upload.wikimedia.org/wikipedia/commons/a/ac/The_woman_making_a_carpet_and_watching_TV_series.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/US_Navy_030515-N-5862D-038_U.S._Navy_recruits_get_their_first_military_haircuts_at_the_Navy_Exchange_barbershop.jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/Government_employment_as_%25_of_total_employment_in_EU.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Map_of_country_subdivisions_%28provinces%29.svg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Mediterranian_Sea_Carthago_location.JPG","null,null,null,null,null,null"
Interest on this VC,"Other use of grazing areas than cow cattle which is the main landuse system in the swiss mountains, pasture landuse system threatened by climate change with summer droughts. There are uncertainties about the real effect of climate change on grassland production and animal health (reduced grass growth in summer but a one-month longer growing season depending on the scenario).","Grazing, Cattle, Switzerland, Pasture, Climate change, Drought, Grassland, Animal health, Grass","http://www.wikidata.org/entity/Q3239189, http://www.wikidata.org/entity/Q830, http://www.wikidata.org/entity/Q39, http://www.wikidata.org/entity/Q30121, http://www.wikidata.org/entity/Q125928, http://www.wikidata.org/entity/Q43059, http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q170201, http://www.wikidata.org/entity/Q643352","method of feeding in which a herbivore eats parts of low-growing grasses, forbs or algae|large, domesticated, cloven-hooved herbivores|country in Central Europe|land used for grazing|human-caused changes to climate on Earth|extended period when a region notes a deficiency in its water supply|area with vegetation dominated by grasses|medical speciality dealing with the diseases of animals, animal welfare, etc.|collective name for three families of plants","https://upload.wikimedia.org/wikipedia/commons/7/76/Grazend_Bees.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Bulgarian_gray_cattle.jpg,null,https://upload.wikimedia.org/wikipedia/commons/a/a6/Mallnitz_Tauerntal_20220825.jpg,https://upload.wikimedia.org/wikipedia/commons/1/11/Carbon_Dioxide_800kyr.svg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Drought.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,https://upload.wikimedia.org/wikipedia/commons/6/69/Picture_468.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Vincent_van_Gogh_-_In_the_Dunes_-_F15a_JH393.jpg","null,null,46.798562 8.231973,null,null,null,null,null,null"
Key local assets,"Dairy production is based on pastures (natural asset), which represent the typical swiss cultural landscape. Grazing therefore depends on these landscapes and these landscapes depends in return on cattle, otherwise they would return to the state of the forest. Transformation into cheese depends on traditional knowledge, since it is produced in an artisanal way. ","Dairy farming, Pasture, Natural capital, Cultural landscape, Grazing, Cattle, Forest, Cheese, Traditional knowledge","http://www.wikidata.org/entity/Q14096331, http://www.wikidata.org/entity/Q30121, http://www.wikidata.org/entity/Q1540268, http://www.wikidata.org/entity/Q1129474, http://www.wikidata.org/entity/Q3239189, http://www.wikidata.org/entity/Q830, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q10943, http://www.wikidata.org/entity/Q1428168","long-term production of milk|land used for grazing|world's stock of natural resources, which includes geology, soils, air, water and all living organisms|landscape, which is permanently embossed by humans|method of feeding in which a herbivore eats parts of low-growing grasses, forbs or algae|large, domesticated, cloven-hooved herbivores|dense collection of trees covering a relatively large area|yellow or white, creamy or solid food made from the pressed curds of milk|knowledge systems in the cultural traditions of communities","https://upload.wikimedia.org/wikipedia/commons/8/83/Melken_auf_Farm_Gunsteling%2C_Namibia_%282017%29.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Mallnitz_Tauerntal_20220825.jpg,null,https://upload.wikimedia.org/wikipedia/commons/9/99/Bocicoel_2009.JPG,https://upload.wikimedia.org/wikipedia/commons/7/76/Grazend_Bees.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Bulgarian_gray_cattle.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Adirondacks_in_May_2008.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hartkaese_HardCheeses.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3f/Wild_rice_harvesting_19th_century.jpg","null,null,null,null,null,null,null,null,null"
Challenges,are not. Overall the type of challenge faced by this VC is Current and Predicted. This VC is classified as Traditional.,"Venture capital, Prediction, Tradition","http://www.wikidata.org/entity/Q219409, http://www.wikidata.org/entity/Q748250, http://www.wikidata.org/entity/Q82821","form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or demonstrated high growth|statement about an uncertain event, which is often based upon knowledge, experience or speculation|custom passed down through generations","null,null,https://upload.wikimedia.org/wikipedia/commons/4/47/Dreschen_mit_Flegel.jpg","null,null,null"
Innovation,The type of innovation of this VC (Value Chain) is unspecified. The innovation is related to the whole VC. The land use systems involved are Grassland. The local assets include Natural and cultural.,"Grassland, Value chain, Natural environment, Culture","http://www.wikidata.org/entity/Q1006733, http://www.wikidata.org/entity/Q646107, http://www.wikidata.org/entity/Q43619, http://www.wikidata.org/entity/Q11042",area with vegetation dominated by grasses|functions of a company affecting its costs and quality and give it a competitive advantage|all living and non-living things occurring naturally on Earth or some region thereof|shared aspects of a society's way of life,"https://upload.wikimedia.org/wikipedia/commons/9/9e/Chile_%283%29%2C_Patagonia%2C_Road_Y-50_towards_Rio_Verde.JPG,null,https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Nwodua_wulana_Alhassan.jpg","null,null,null,null"
Concluding remarks,The VC is also present in the swiss alps.,"Valais Blacknose, Swiss Alps","http://www.wikidata.org/entity/Q870185, http://www.wikidata.org/entity/Q25220",sheep breed|portion of the Alps mountain range that lies within Switzerland,"https://upload.wikimedia.org/wikipedia/commons/2/2c/Schwarznasenschaf.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Muttbach.jpg","null,46.5 8.5"
